"Dimensions.Height","Dimensions.Length","Dimensions.Width","Engine Information.Driveline","Engine Information.Engine Type","Engine Information.Hybrid","Engine Information.Number of Forward Gears","Engine Information.Transmission","Fuel Information.City mpg","Fuel Information.Fuel Type","Fuel Information.Highway mpg","Identification.Classification","Identification.ID","Identification.Make","Identification.Model Year","Identification.Year","Engine Information.Engine Statistics.Horsepower","Engine Information.Engine Statistics.Torque"
"148","12","191","All-wheel drive","BMW 4.4L 8 cylinder 555hp 500 ft-lbs Turbo","True","6","6 Speed Automatic Select Shift","12","Gasoline","17","Automatic transmission","2011 BMW X6 M","BMW","2011 BMW X6","2011","555","500"
"112","22","181","Rear-wheel drive","Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs","True","5","5 Speed Manual","18","Gasoline","25","Manual transmission","2012 Chevrolet Colorado Work Truck","Chevrolet","2012 Chevrolet Colorado","2012","185","190"
"112","140","181","Rear-wheel drive","Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs","True","5","5 Speed Manual","18","Gasoline","25","Manual transmission","2012 Chevrolet Colorado Extended Cab Work Truck","Chevrolet","2012 Chevrolet Colorado","2012","185","190"
"120","140","181","Rear-wheel drive","Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs","True","4","4 Speed Automatic","18","Gasoline","25","Automatic transmission","2012 Chevrolet Colorado Crew Cab 1LT","Chevrolet","2012 Chevrolet Colorado","2012","185","190"
"112","22","181","Rear-wheel drive","Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs","True","5","5 Speed Manual","18","Gasoline","25","Manual transmission","2011 Chevrolet Colorado Work Truck","Chevrolet","2011 Chevrolet Colorado","2011","185","190"
"112","140","181","Rear-wheel drive","Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs","True","5","5 Speed Manual","18","Gasoline","25","Manual transmission","2011 Chevrolet Colorado Extended Cab Work Truck","Chevrolet","2011 Chevrolet Colorado","2011","185","190"
"120","140","181","Rear-wheel drive","Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs","True","4","4 Speed Automatic","18","Gasoline","25","Automatic transmission","2011 Chevrolet Colorado Crew Cab 1LT","Chevrolet","2011 Chevrolet Colorado","2011","185","190"
"112","22","181","Rear-wheel drive","Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs","True","5","5 Speed Manual","18","Gasoline","25","Manual transmission","2010 Chevrolet Colorado Work Truck","Chevrolet","2010 Chevrolet Colorado","2010","185","190"
"112","140","181","Rear-wheel drive","Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs","True","5","5 Speed Manual","20","Gasoline","26","Manual transmission","2010 Chevrolet Colorado Extended Cab Work Truck","Chevrolet","2010 Chevrolet Colorado","2010","185","190"
"120","140","181","Rear-wheel drive","Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs","True","4","4 Speed Automatic","18","Gasoline","25","Automatic transmission","2010 Chevrolet Colorado Crew Cab LT1","Chevrolet","2010 Chevrolet Colorado","2010","185","190"
"77","60","219","Rear-wheel drive","Chevrolet 5.3L 8 Cylinder 310 hp 334 ft-lbs FFV","True","4","4 Speed Automatic","13","Gasoline","18","Automatic transmission","2012 Chevrolet Express LS 1500","Chevrolet","2012 Chevrolet Express","2012","310","334"
"77","60","219","All-wheel drive","Chevrolet 5.3L 8 Cylinder 310 hp 334 ft-lbs FFV","True","4","4 Speed Automatic","9","E85","12","Automatic transmission","2012 Chevrolet Express LS 1500 AWD","Chevrolet","2012 Chevrolet Express","2012","310","334"
"77","60","219","Rear-wheel drive","Chevrolet 5.3L 8 Cylinder 310 hp 334 ft-lbs FFV","True","4","4 Speed Automatic","13","Gasoline","17","Automatic transmission","2011 Chevrolet Express LS 1500","Chevrolet","2011 Chevrolet Express","2011","310","334"
"77","60","219","All-wheel drive","Chevrolet 5.3L 8 Cylinder 310 hp 334 ft-lbs FFV","True","4","4 Speed Automatic","13","Gasoline","17","Automatic transmission","2011 Chevrolet Express LS 1500 AWD","Chevrolet","2011 Chevrolet Express","2011","310","334"
"22","60","219","Rear-wheel drive","Chevrolet 4.8L 8 Cylinder 280 hp 295 ft-lbs FFV","True","6","6 Speed Automatic","8","E85","12","Automatic transmission","2011 Chevrolet Express LS 2500","Chevrolet","2011 Chevrolet Express","2011","280","295"
"22","60","219","Rear-wheel drive","Chevrolet 6.0L 8 Cylinder 324 hp 373 ft-lbs FFV","True","6","6 Speed Automatic","8","E85","12","Automatic transmission","2011 Chevrolet Express LS 2500 6.0L","Chevrolet","2011 Chevrolet Express","2011","324","373"
"24","60","224","Rear-wheel drive","Chevrolet 5.3L 8 Cylinder 310 hp 334 ft-lbs FFV","True","4","4 Speed Automatic","10","E85","13","Automatic transmission","2010 Chevrolet Express LS 1500","Chevrolet","2010 Chevrolet Express","2010","310","334"
"24","60","224","All-wheel drive","Chevrolet 5.3L 8 Cylinder 310 hp 334 ft-lbs FFV","True","4","4 Speed Automatic","13","Gasoline","17","Automatic transmission","2010 Chevrolet Express LS 1500 AWD","Chevrolet","2010 Chevrolet Express","2010","310","334"
"77","102","237","Rear-wheel drive","Chevrolet 4.3L 6 Cylinder 195 hp 260 ft-lbs","True","4","4 Speed Automatic","15","Gasoline","20","Automatic transmission","2011 Chevrolet Silverado 1500 Work Truck","Chevrolet","2011 Chevrolet Silverado 1500","2011","195","260"
"82","215","240","Rear-wheel drive","Chevrolet 4.8L 8 Cylinder 302 hp 305 ft-lbs FFV","True","4","4 Speed Automatic","14","Gasoline","19","Automatic transmission","2011 Chevrolet Silverado 1500 Crew Cab Work Truck","Chevrolet","2011 Chevrolet Silverado 1500","2011","302","305"
"85","215","237","Rear-wheel drive","Chevrolet 4.3L 6 Cylinder 195 hp 260 ft-lbs","True","4","4 Speed Automatic","15","Gasoline","20","Automatic transmission","2011 Chevrolet Silverado 1500 Extended Cab Work Truck","Chevrolet","2011 Chevrolet Silverado 1500","2011","195","260"
"85","215","237","Rear-wheel drive","Chevrolet 4.3L 6 Cylinder 195 hp 260 ft-lbs","True","4","4 Speed Automatic","15","Gasoline","20","Automatic transmission","2010 Chevrolet Silverado 1500 Extended Cab Work Truck","Chevrolet","2010 Chevrolet Silverado 1500","2010","195","260"
"77","102","237","Rear-wheel drive","Chevrolet 4.3L 6 Cylinder 195 hp 260 ft-lbs","True","4","4 Speed Automatic","15","Gasoline","20","Automatic transmission","2010 Chevrolet Silverado 1500 Work Truck","Chevrolet","2010 Chevrolet Silverado 1500","2010","195","260"
"82","215","240","Rear-wheel drive","Chevrolet 4.8L 8 Cylinder 302 hp 305 ft-lbs FFV","True","4","4 Speed Automatic","14","Gasoline","19","Automatic transmission","2010 Chevrolet Silverado 1500 Crew Cab Work Truck","Chevrolet","2010 Chevrolet Silverado 1500","2010","302","305"
"43","52","52","Rear-wheel drive","Nissan 3.7L 6 Cylinder 350hp 276 ft-lbs","True","6","6 Speed Manual","18","Gasoline","26","Manual transmission","2011 Nissan 370Z NISMO","Nissan","2011 Nissan 370Z Coupe","2011","350","276"
"35","75","52","Rear-wheel drive","Nissan 3.7L 6 Cylinder 350hp 276 ft-lbs","True","6","6 Speed Manual","18","Gasoline","26","Manual transmission","2010 Nissan 370Z NISMO","Nissan","2010 Nissan 370Z Coupe","2010","350","276"
"35","75","52","Rear-wheel drive","Nissan 3.7L 6 Cylinder 350hp 276 ft-lbs","True","6","6 Speed Manual","18","Gasoline","26","Manual transmission","2009 Nissan 370Z NISMO","Nissan","2009 Nissan 370Z Coupe","2009","350","276"
"167","168","247","Front-wheel drive","Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo","True","6","6 Speed Manual","21","Gasoline","29","Manual transmission","2011 Volvo C30 T5","Volvo","2011 Volvo C30","2011","227","236"
"167","168","247","Front-wheel drive","Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo","True","5","5 Speed Automatic","21","Gasoline","30","Automatic transmission","2011 Volvo C30 T5 AT","Volvo","2011 Volvo C30","2011","227","236"
"167","155","247","Front-wheel drive","Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo","True","5","5 Speed Automatic","21","Gasoline","30","Automatic transmission","2010 Volvo C30 T5 AT","Volvo","2010 Volvo C30","2010","227","236"
"167","155","247","Front-wheel drive","Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo","True","6","6 Speed Manual","21","Gasoline","29","Manual transmission","2010 Volvo C30 T5","Volvo","2010 Volvo C30","2010","227","236"
"193","34","107","Rear-wheel drive","Bentley 6.8L 8 cylinder 530hp 774 ft-lbs Turbo","True","6","6 Speed Automatic","9","Gasoline","15","Automatic transmission","2010 Bentley Brooklands","Bentley","2010 Bentley Brooklands","2010","530","774"
"99","195","153","All-wheel drive","Bentley 6.0L 12 Cylinder 621 hp 590 ft-lbs FFV Turbo","True","6","6 Speed Automatic","8","E85","14","Automatic transmission","2012 Bentley Continental Supersports Convertible","Bentley","2012 Bentley Continental Supersports Convertible","2012","621","590"
"110","199","153","All-wheel drive","Bentley 6.0L 12 Cylinder 621 hp 590 ft-lbs FFV Turbo","True","6","6 Speed Automatic Select Shift","8","E85","14","Automatic transmission","2012 Bentley Continental Supersports Coupe","Bentley","2012 Bentley Continental Supersports Coupe","2012","621","590"
"99","195","153","All-wheel drive","Bentley 6.0L 12 Cylinder 621 hp 590 ft-lbs FFV Turbo","True","6","6 Speed Automatic","8","E85","14","Automatic transmission","2011 Bentley Continental Supersports Convertible","Bentley","2011 Bentley Continental Supersports Convertible","2011","621","590"
"99","195","153","All-wheel drive","Bentley 6.0L 12 Cylinder 621 hp 590 ft-lbs FFV Turbo","True","6","6 Speed Automatic","12","Gasoline","19","Automatic transmission","2010 Bentley Continental Supersports","Bentley","2010 Bentley Continental Supersports","2010","621","590"
"118","170","184","All-wheel drive","Bentley 6.0L 12 Cylinder 552 hp 479 ft-lbs FFV Turbo","True","6","6 Speed Automatic","8","E85","13","Automatic transmission","2012 Bentley Continental Flying Spur","Bentley","2012 Bentley Continental Flying Spur","2012","552","479"
"108","170","184","All-wheel drive","Bentley 6.0L 12 Cylinder 600 hp 553 ft-lbs FFV Turbo","True","6","6 Speed Automatic","11","Gasoline","19","Automatic transmission","2012 Bentley Continental Flying Spur Speed","Bentley","2012 Bentley Continental Flying Spur","2012","600","553"
"185","170","184","All-wheel drive","Bentley 6.0L 12 Cylinder 600 hp 553 ft-lbs FFV Turbo","True","6","6 Speed Automatic","10","Gasoline","17","Automatic transmission","2011 Bentley Continental Flying Spur Speed","Bentley","2011 Bentley Continental Flying Spur","2011","600","553"
"185","170","184","All-wheel drive","Bentley 6.0L 12 cylinder 600hp 553 ft-lbs Turbo","True","6","6 Speed Automatic","10","Gasoline","17","Automatic transmission","2010 Bentley Continental Flying Spur Speed","Bentley","2010 Bentley Continental Flying Spur","2010","600","553"
"195","170","184","All-wheel drive","Bentley 6.0L 12 cylinder 552 hp 479 ft-lbs Turbo","True","6","6 Speed Automatic","10","Gasoline","17","Automatic transmission","2010 Bentley Continental Flying Spur","Bentley","2010 Bentley Continental Flying Spur","2010","552","479"
"120","7","44","Front-wheel drive","Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo","True","5","5 Speed Automatic","19","Gasoline","28","Automatic transmission","2011 Volvo C70 T5","Volvo","2011 Volvo C70","2011","227","236"
"119","230","44","Front-wheel drive","Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo","True","6","6 Speed Manual","20","Gasoline","28","Manual transmission","2010 Volvo C70 T5","Volvo","2010 Volvo C70","2010","227","236"
"119","230","44","Front-wheel drive","Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo","True","5","5 Speed Automatic","19","Gasoline","28","Automatic transmission","2010 Volvo C70 T5 AT","Volvo","2010 Volvo C70","2010","227","236"
"172","123","234","Front-wheel drive","Volvo 2.4L 5 Cylinder 168 hp 166 ft-lbs","True","5","5 Speed Manual","21","Gasoline","29","Manual transmission","2010 Volvo S40 2.4i","Volvo","2010 Volvo S40","2010","168","170"
"172","123","234","Front-wheel drive","Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo","True","5","5 Speed Automatic","21","Gasoline","30","Automatic transmission","2010 Volvo S40 R-Design","Volvo","2010 Volvo S40","2010","227","236"
"172","123","234","Front-wheel drive","Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo","True","5","5 Speed Automatic","21","Gasoline","30","Automatic transmission","2011 Volvo S40 T5","Volvo","2011 Volvo S40","2011","227","236"
"190","123","234","All-wheel drive","Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo","True","6","6 Speed Manual","20","Gasoline","27","Manual transmission","2010 Volvo S40 R-Design AWD","Volvo","2010 Volvo S40","2010","227","236"
"203","19","72","Front-wheel drive","Volvo 2.5L 5 Cylinder 250 hp 266 ft-lbs Turbo","True","6","6 Speed Automatic Select Shift","20","Gasoline","30","Automatic transmission","2012 Volvo S60 T5","Volvo","2012 Volvo S60","2012","250","266"
"203","19","72","All-wheel drive","Volvo 3.0 L 6 Cylinder 300 HP 325 ft-lbs Turbo","True","6","6 Speed Automatic Select Shift","18","Gasoline","26","Automatic transmission","2012 Volvo S60 T6 AWD","Volvo","2012 Volvo S60","2012","300","325"
"203","19","72","All-wheel drive","Volvo 3.0 L 6 Cylinder 325 HP 354 ft-lbs Turbo","True","6","6 Speed Automatic Select Shift","18","Gasoline","26","Automatic transmission","2012 Volvo S60 R-Design","Volvo","2012 Volvo S60","2012","325","354"
"203","14","72","All-wheel drive","Volvo 3.0 L 6 Cylinder 300 HP 325 ft-lbs Turbo","True","6","6 Speed Automatic","18","Gasoline","26","Automatic transmission","2011 Volvo S60 T6 AWD","Volvo","2011 Volvo S60","2011","300","325"
"213","243","69","Front-wheel drive","Volvo 3.2 L 6 cylinder 240 hp 236 ft-lbs","True","6","6 Speed Automatic Select Shift","19","Gasoline","27","Automatic transmission","2011 Volvo S80 3.2","Volvo","2011 Volvo S80","2011","240","236"
"213","243","69","All-wheel drive","Volvo 4.4L 8 Cylinder 311 hp 325 ft-lbs","True","6","6 Speed Automatic","15","Gasoline","22","Automatic transmission","2010 Volvo S80 V8","Volvo","2010 Volvo S80","2010","311","325"
"213","243","69","All-wheel drive","Volvo 3.0L 6 Cylinder 281 hp 295 ft-lbs Turbo","True","6","6 Speed Automatic Select Shift","16","Gasoline","24","Automatic transmission","2010 Volvo S80 T6 AWD","Volvo","2010 Volvo S80","2010","281","295"
"213","243","69","Front-wheel drive","Volvo 3.2L 6 Cylinder 235 hp 236 ft-lbs","True","6","6 Speed Automatic","18","Gasoline","27","Automatic transmission","2010 Volvo S80 3.2","Volvo","2010 Volvo S80","2010","235","236"
"177","169","234","Front-wheel drive","Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo","True","5","5 Speed Automatic","21","Gasoline","30","Automatic transmission","2011 Volvo V50 T5","Volvo","2011 Volvo V50","2011","227","236"
"193","169","234","All-wheel drive","Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo","True","6","6 Speed Manual","20","Gasoline","26","Manual transmission","2010 Volvo V50 R-Design","Volvo","2010 Volvo V50","2010","227","236"
"177","169","234","Front-wheel drive","Volvo 2.4L 5 Cylinder 168 hp 166 ft-lbs","True","5","5 Speed Automatic Select Shift","20","Gasoline","31","Automatic transmission","2010 Volvo V50 2.4i","Volvo","2010 Volvo V50","2010","168","170"
"175","19","97","All-wheel drive","Volvo 3.0 L 6 Cylinder 300 HP 325 ft-lbs Turbo","True","6","6 Speed Automatic","17","Gasoline","22","Automatic transmission","2011 Volvo XC60 T6 AWD","Volvo","2011 Volvo XC60","2011","300","325"
"175","19","97","Front-wheel drive","Volvo 3.2 L 6 cylinder 240 hp 236 ft-lbs","True","6","6 Speed Automatic","18","Gasoline","25","Automatic transmission","2011 Volvo XC60 3.2","Volvo","2011 Volvo XC60","2011","240","236"
"175","19","97","All-wheel drive","Volvo 3.0L 6 Cylinder 281 hp 295 ft-lbs Turbo","True","6","6 Speed Automatic Select Shift","16","Gasoline","21","Automatic transmission","2010 Volvo XC60 T6 AWD","Volvo","2010 Volvo XC60","2010","281","295"
"175","19","97","Front-wheel drive","Volvo 3.2L 6 Cylinder 235 hp 236 ft-lbs","True","6","6 Speed Automatic","18","Gasoline","27","Automatic transmission","2010 Volvo XC60 3.2","Volvo","2010 Volvo XC60","2010","235","236"
"66","230","69","Front-wheel drive","Volvo 3.2 L 6 cylinder 240 hp 236 ft-lbs","True","6","6 Speed Automatic","18","Gasoline","25","Automatic transmission","2011 Volvo XC70 3.2","Volvo","2011 Volvo XC70","2011","240","236"
"66","230","69","All-wheel drive","Volvo 3.0 L 6 Cylinder 300 HP 325 ft-lbs Turbo","True","6","6 Speed Automatic","17","Gasoline","22","Automatic transmission","2011 Volvo XC70 T6 AWD","Volvo","2011 Volvo XC70","2011","300","325"
"66","230","69","All-wheel drive","Volvo 3.0L 6 Cylinder 281 hp 295 ft-lbs Turbo","True","6","6 Speed Automatic","16","Gasoline","21","Automatic transmission","2010 Volvo XC70 T6 AWD","Volvo","2010 Volvo XC70","2010","281","295"
"66","230","69","All-wheel drive","Volvo 3.2L 6 Cylinder 235 hp 236 ft-lbs","True","6","6 Speed Automatic","16","Gasoline","22","Automatic transmission","2010 Volvo XC70 3.2","Volvo","2010 Volvo XC70","2010","235","236"
"24","216","133","Rear-wheel drive","Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs","True","5","5 Speed Automatic","17","Gasoline","23","Automatic transmission","2011 Toyota 4Runner SR5","Toyota","2011 Toyota 4Runner","2011","270","278"
"24","216","24","Four-wheel drive","Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs","True","5","5 Speed Automatic","17","Gasoline","22","Automatic transmission","2011 Toyota 4Runner SR5 4WD","Toyota","2011 Toyota 4Runner","2011","270","278"
"93","216","133","Four-wheel drive","Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs","True","5","5 Speed Automatic","17","Gasoline","22","Automatic transmission","2011 Toyota 4Runner Trail","Toyota","2011 Toyota 4Runner","2011","270","278"
"24","216","133","Rear-wheel drive","Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs","True","5","5 Speed Automatic","17","Gasoline","23","Automatic transmission","2011 Toyota 4Runner Limited","Toyota","2011 Toyota 4Runner","2011","270","278"
"24","216","133","Four-wheel drive","Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs","True","5","5 Speed Automatic","17","Gasoline","22","Automatic transmission","2011 Toyota 4Runner  Limited 4WD","Toyota","2011 Toyota 4Runner","2011","270","278"
"247","200","105","Front-wheel drive","Volvo 3.2 L 6 cylinder 240 hp 236 ft-lbs","True","6","6 Speed Automatic","16","Gasoline","22","Automatic transmission","2011 Volvo XC90 3.2","Volvo","2011 Volvo XC90","2011","240","236"
"247","200","105","All-wheel drive","Volvo 4.4L 8 Cylinder 311 hp 325 ft-lbs","True","6","6 Speed Automatic","14","Gasoline","21","Automatic transmission","2011 Volvo XC90 V8","Volvo","2011 Volvo XC90","2011","311","325"
"247","200","105","Front-wheel drive","Volvo 3.2L 6 Cylinder 235 hp 236 ft-lbs","True","6","6 Speed Automatic","15","Gasoline","22","Automatic transmission","2010 Volvo XC90 3.2","Volvo","2010 Volvo XC90","2010","235","236"
"247","200","105","All-wheel drive","Volvo 4.4L 8 Cylinder 311 hp 325 ft-lbs","True","6","6 Speed Automatic","13","Gasoline","19","Automatic transmission","2010 Volvo XC90 V8","Volvo","2010 Volvo XC90","2010","311","325"
"10","215","69","Front-wheel drive","Volvo 3.2L 6 Cylinder 235 hp 236 ft-lbs","True","6","6 Speed Automatic","18","Gasoline","27","Automatic transmission","2010 Volvo V70 3.2","Volvo","2010 Volvo V70","2010","235","236"
"24","216","133","Rear-wheel drive","Toyota 2.7L 4 Cylinder 157 hp 178 ft-lbs","True","4","4 Speed Automatic","18","Gasoline","23","Automatic transmission","2010 Toyota 4Runner SR5","Toyota","2010 Toyota 4Runner","2010","157","178"
"24","216","133","Rear-wheel drive","Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs","True","5","5 Speed Automatic","17","Gasoline","23","Automatic transmission","2010 Toyota 4Runner SR5 V6","Toyota","2010 Toyota 4Runner","2010","270","278"
"24","216","133","Four-wheel drive","Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs","True","5","5 Speed Automatic","17","Gasoline","22","Automatic transmission","2010 Toyota 4Runner SR5 V6 4WD","Toyota","2010 Toyota 4Runner","2010","270","278"
"93","216","133","Four-wheel drive","Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs","True","5","5 Speed Automatic","17","Gasoline","22","Automatic transmission","2010 Toyota 4Runner Trail","Toyota","2010 Toyota 4Runner","2010","270","278"
"24","216","133","Rear-wheel drive","Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs","True","5","5 Speed Automatic","17","Gasoline","23","Automatic transmission","2010 Toyota 4Runner Limited","Toyota","2010 Toyota 4Runner","2010","270","278"
"24","216","133","Four-wheel drive","Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs","True","5","5 Speed Automatic","17","Gasoline","22","Automatic transmission","2010 Toyota 4Runner Limited 4WD","Toyota","2010 Toyota 4Runner","2010","270","278"
"143","196","203","Front-wheel drive","Audi 2.0L 4 cylinder 200 hp 207 ft-lbs Turbo","True","6","6 Speed Manual","21","Gasoline","30","Manual transmission","2012 Audi A3 2.0 T","Audi","2012 Audi A3","2012","200","207"
"152","240","57","Front-wheel drive","Honda 3.5L 6 Cylinder 271hp 251 ft-lbs","True","6","6 Speed Manual","17","Gasoline","25","Manual transmission","2010 Honda Accord EX-L V-6 Coup","Honda","2010 Honda Accord Coupe","2010","271","251"
"152","240","57","Front-wheel drive","Honda 2.4L 4 cylinder 190 hp 162 ft-lbs","True","5","5 Speed Automatic","21","Gasoline","31","Automatic transmission","2010 Honda Accord EX Coup AT","Honda","2010 Honda Accord Coupe","2010","190","162"
"152","240","57","Front-wheel drive","Honda 2.4L 4 cylinder 190 hp 162 ft-lbs","True","5","5 Speed Manual","22","Gasoline","31","Manual transmission","2010 Honda Accord EX-L Coup","Honda","2010 Honda Accord Coupe","2010","190","162"
"152","240","57","Front-wheel drive","Honda 2.4L 4 cylinder 190 hp 162 ft-lbs","True","5","5 Speed Automatic","21","Gasoline","31","Automatic transmission","2010 Honda Accord EX-L Coup AT","Honda","2010 Honda Accord Coupe","2010","190","162"
"152","240","57","Front-wheel drive","Honda 3.5L 6 Cylinder 271hp 251 ft-lbs","True","5","5 Speed Automatic","19","Gasoline","28","Automatic transmission","2010 Honda Accord EX-L V-6 Coup AT","Honda","2010 Honda Accord Coupe","2010","271","251"
"152","240","57","Front-wheel drive","Honda 2.4L 4 cylinder 190 hp 162 ft-lbs","True","5","5 Speed Manual","22","Gasoline","31","Manual transmission","2010 Honda Accord EX Coup","Honda","2010 Honda Accord Coupe","2010","190","162"
"152","240","57","Front-wheel drive","Honda 2.4L 4 cylinder 190 hp 162 ft-lbs","True","5","5 Speed Automatic","21","Gasoline","31","Automatic transmission","2010 Honda Accord LX-S Coup AT","Honda","2010 Honda Accord Coupe","2010","190","162"
